Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2009-04-11 12:00:00.000 +0200,Clear,rain,22.22222222222222,22.22222222222222,0.38,14.49,190.0,9.982000000000001,0.0,1013.4,Partly cloudy starting in the morning continuing until evening.
2009-04-11 13:00:00.000 +0200,Clear,rain,23.88888888888889,23.88888888888889,0.38,12.88,180.0,9.982000000000001,0.0,1013.1,Partly cloudy starting in the morning continuing until evening.
2009-04-11 14:00:00.000 +0200,Partly Cloudy,rain,23.83888888888889,23.83888888888889,0.29,11.946200000000001,208.0,10.368400000000001,0.0,1012.74,Partly cloudy starting in the morning continuing until evening.
2009-04-11 15:00:00.000 +0200,Partly Cloudy,rain,25.0,25.0,0.32,14.49,190.0,9.982000000000001,0.0,1012.3,Partly cloudy starting in the morning continuing until evening.
2009-04-11 16:00:00.000 +0200,Partly Cloudy,rain,23.88888888888889,23.88888888888889,0.29,14.49,200.0,9.982000000000001,0.0,1011.9,Partly cloudy starting in the morning continuing until evening.
2009-04-11 17:00:00.000 +0200,Partly Cloudy,rain,23.922222222222224,23.922222222222224,0.29,14.0714,207.0,10.368400000000001,0.0,1011.83,Partly cloudy starting in the morning continuing until evening.
2009-04-11 18:00:00.000 +0200,Partly Cloudy,rain,22.77777777777778,22.77777777777778,0.34,11.270000000000001,170.0,9.982000000000001,0.0,1011.7,Partly cloudy starting in the morning continuing until evening.
2009-04-11 19:00:00.000 +0200,Partly Cloudy,rain,18.88888888888889,18.88888888888889,0.47,11.270000000000001,150.0,11.270000000000001,0.0,1011.9,Partly cloudy starting in the morning continuing until evening.
2009-04-11 20:00:00.000 +0200,Partly Cloudy,rain,18.08888888888889,18.08888888888889,0.44,13.2986,170.0,10.368400000000001,0.0,1012.4,Partly cloudy starting in the morning continuing until evening.
2009-04-11 21:00:00.000 +0200,Clear,rain,17.77777777777778,17.77777777777778,0.46,25.76,160.0,9.982000000000001,0.0,1013.2,Partly cloudy starting in the morning continuing until evening.
2009-04-11 22:00:00.000 +0200,Clear,rain,17.22222222222222,17.22222222222222,0.48,20.93,170.0,16.1,0.0,1013.7,Partly cloudy starting in the morning continuing until evening.
2009-04-11 23:00:00.000 +0200,Clear,rain,15.538888888888888,15.538888888888888,0.51,24.552500000000002,167.0,15.150100000000002,0.0,1013.88,Partly cloudy starting in the morning continuing until evening.
2009-04-12 00:00:00.000 +0200,Clear,rain,14.444444444444445,14.444444444444445,0.6,25.76,170.0,16.1,0.0,1014.0,Partly cloudy in the morning.
2009-04-12 01:00:00.000 +0200,Clear,rain,13.88888888888889,13.88888888888889,0.64,20.93,170.0,16.1,0.0,1014.0,Partly cloudy in the morning.
2009-04-12 02:00:00.000 +0200,Clear,rain,9.494444444444447,7.799999999999999,0.69,11.4471,152.0,14.329,0.0,1012.19,Partly cloudy in the morning.
2009-04-12 03:00:00.000 +0200,Clear,rain,12.777777777777779,12.777777777777779,0.69,17.71,170.0,16.1,0.0,1013.5,Partly cloudy in the morning.
2009-04-12 04:00:00.000 +0200,Clear,rain,11.666666666666666,11.666666666666666,0.71,14.49,170.0,16.1,0.0,1013.5,Partly cloudy in the morning.
2009-04-12 05:00:00.000 +0200,Clear,rain,11.666666666666666,11.666666666666666,0.67,20.334300000000002,160.0,15.150100000000002,0.0,1013.3,Partly cloudy in the morning.
2009-04-12 06:00:00.000 +0200,Clear,rain,10.0,7.622222222222222,0.66,17.71,170.0,9.982000000000001,0.0,1013.4,Partly cloudy in the morning.
2009-04-12 07:00:00.000 +0200,Clear,rain,11.11111111111111,11.11111111111111,0.61,17.71,170.0,9.982000000000001,0.0,1013.7,Partly cloudy in the morning.
2009-04-12 08:00:00.000 +0200,Partly Cloudy,rain,12.255555555555556,12.255555555555556,0.57,20.0928,169.0,10.368400000000001,0.0,1013.87,Partly cloudy in the morning.
2009-04-12 09:00:00.000 +0200,Partly Cloudy,rain,13.88888888888889,13.88888888888889,0.47,24.150000000000002,170.0,9.982000000000001,0.0,1013.7,Partly cloudy in the morning.
2009-04-12 10:00:00.000 +0200,Breezy and Partly Cloudy,rain,16.11111111111111,16.11111111111111,0.41,28.98,170.0,9.982000000000001,0.0,1013.9,Partly cloudy in the morning.
2009-04-12 11:00:00.000 +0200,Clear,rain,17.76111111111111,17.76111111111111,0.41,26.613300000000002,169.0,10.368400000000001,0.0,1013.65,Partly cloudy in the morning.
2009-04-12 12:00:00.000 +0200,Clear,rain,18.88888888888889,18.88888888888889,0.4,22.540000000000003,170.0,9.982000000000001,0.0,1013.1,Partly cloudy in the morning.
2009-04-12 13:00:00.000 +0200,Clear,rain,21.11111111111111,21.11111111111111,0.38,24.150000000000002,170.0,9.982000000000001,0.0,1012.8,Partly cloudy in the morning.
2009-04-12 14:00:00.000 +0200,Partly Cloudy,rain,20.20555555555556,20.20555555555556,0.37,22.395100000000003,179.0,10.368400000000001,0.0,1012.37,Partly cloudy in the morning.
2009-04-12 15:00:00.000 +0200,Partly Cloudy,rain,21.11111111111111,21.11111111111111,0.38,22.540000000000003,180.0,9.982000000000001,0.0,1011.7,Partly cloudy in the morning.
2009-04-12 16:00:00.000 +0200,Partly Cloudy,rain,22.77777777777778,22.77777777777778,0.34,24.150000000000002,180.0,9.982000000000001,0.0,1011.2,Partly cloudy in the morning.
2009-04-12 17:00:00.000 +0200,Partly Cloudy,rain,22.15555555555555,22.15555555555555,0.33,25.2609,169.0,10.368400000000001,0.0,1010.71,Partly cloudy in the morning.
2009-04-12 18:00:00.000 +0200,Clear,rain,20.0,20.0,0.37,17.71,170.0,9.982000000000001,0.0,1010.6,Partly cloudy in the morning.
2009-04-12 19:00:00.000 +0200,Partly Cloudy,rain,17.77777777777778,17.77777777777778,0.4,22.540000000000003,160.0,9.982000000000001,0.0,1010.8,Partly cloudy in the morning.
2009-04-12 20:00:00.000 +0200,Partly Cloudy,rain,16.16111111111111,16.16111111111111,0.44,16.035600000000002,165.0,10.368400000000001,0.0,1011.46,Partly cloudy in the morning.
2009-04-12 21:00:00.000 +0200,Partly Cloudy,rain,13.88888888888889,13.88888888888889,0.51,14.49,170.0,9.982000000000001,0.0,1012.1,Partly cloudy in the morning.
2009-04-12 22:00:00.000 +0200,Clear,rain,13.88888888888889,13.88888888888889,0.51,17.71,170.0,15.134000000000002,0.0,1012.1,Partly cloudy in the morning.
2009-04-12 23:00:00.000 +0200,Clear,rain,12.844444444444443,12.844444444444443,0.55,14.4095,165.0,14.329,0.0,1011.87,Partly cloudy in the morning.
2009-04-13 00:00:00.000 +0200,Clear,rain,12.222222222222221,12.222222222222221,0.57,14.49,170.0,15.134000000000002,0.0,1011.8,Mostly cloudy starting in the morning.
2009-04-13 01:00:00.000 +0200,Clear,rain,10.555555555555555,10.555555555555555,0.63,11.270000000000001,140.0,15.134000000000002,0.0,1012.0,Mostly cloudy starting in the morning.
2009-04-13 02:00:00.000 +0200,Mostly Cloudy,rain,8.677777777777777,8.677777777777777,0.73,3.0751,54.0,14.329,0.0,1009.89,Mostly cloudy starting in the morning.
2009-04-13 03:00:00.000 +0200,Clear,rain,8.88888888888889,6.627777777777777,0.68,14.49,140.0,15.134000000000002,0.0,1011.4,Mostly cloudy starting in the morning.
2009-04-13 04:00:00.000 +0200,Clear,rain,8.88888888888889,6.2333333333333325,0.66,17.71,140.0,15.134000000000002,0.0,1011.1,Mostly cloudy starting in the morning.
2009-04-13 05:00:00.000 +0200,Clear,rain,8.366666666666667,6.133333333333333,0.69,13.4435,144.0,14.329,0.0,1011.17,Mostly cloudy starting in the morning.
2009-04-13 06:00:00.000 +0200,Clear,rain,7.777777777777778,5.761111111111109,0.68,11.270000000000001,110.0,9.982000000000001,0.0,1010.9,Mostly cloudy starting in the morning.
2009-04-13 07:00:00.000 +0200,Clear,rain,7.777777777777778,5.761111111111109,0.76,11.270000000000001,60.0,9.982000000000001,0.0,1011.2,Mostly cloudy starting in the morning.
2009-04-13 08:00:00.000 +0200,Partly Cloudy,rain,11.022222222222224,11.022222222222224,0.62,11.8335,79.0,9.982000000000001,0.0,1011.29,Mostly cloudy starting in the morning.
2009-04-13 09:00:00.000 +0200,Partly Cloudy,rain,12.777777777777779,12.777777777777779,0.59,12.88,100.0,9.982000000000001,0.0,1011.2,Mostly cloudy starting in the morning.
2009-04-13 10:00:00.000 +0200,Partly Cloudy,rain,16.11111111111111,16.11111111111111,0.48,11.270000000000001,120.0,9.982000000000001,0.0,1011.1,Mostly cloudy starting in the morning.
2009-04-13 11:00:00.000 +0200,Partly Cloudy,rain,16.961111111111112,16.961111111111112,0.44,11.6242,98.0,10.368400000000001,0.0,1010.6,Mostly cloudy starting in the morning.
2009-04-13 12:00:00.000 +0200,Mostly Cloudy,rain,18.88888888888889,18.88888888888889,0.4,8.05,100.0,9.982000000000001,0.0,1010.0,Mostly cloudy starting in the morning.
2009-04-13 13:00:00.000 +0200,Mostly Cloudy,rain,18.88888888888889,18.88888888888889,0.4,12.88,100.0,9.982000000000001,0.0,1009.1,Mostly cloudy starting in the morning.
